"learning_rate","smoothed_loss","loss"
1e-07,0.08827260881662369,0.08827260881662369
1.2328467394420662e-07,0.08732491377929234,0.08639617264270782
1.519911082952934e-07,0.09171804629743636,0.100242480635643
1.8738174228603841e-07,0.0932013805804939,0.09747574478387833
2.3101297000831599e-07,0.09417367150179287,0.09787222743034363
2.8480358684358017e-07,0.09488088676425084,0.09821037203073502
3.5111917342151314e-07,0.09513623290613836,0.09656456857919693
4.3287612810830585e-07,0.09520510671010958,0.09565015882253647
5.33669923120631e-07,0.09404215766130491,0.08553796261548996
6.57933224657568e-07,0.09408947445142575,0.09447493404150009
8.111308307896871e-07,0.0947523532982635,0.10069402307271957
1e-06,0.09444805073021326,0.09147679060697556
1.232846739442066e-06,0.09483357869657225,0.09890046715736389
1.5199110829529335e-06,0.09525864046939463,0.10006944835186005
1.8738174228603837e-06,0.09483726771045387,0.08975064754486084
2.3101297000831594e-06,0.0943581159237452,0.08822012692689896
2.848035868435801e-06,0.09457138307243687,0.09745772182941437
3.5111917342151305e-06,0.09468670856616193,0.09632931649684906
4.328761281083057e-06,0.09464315471972984,0.09399253129959106
5.336699231206308e-06,0.09466924035821826,0.09507668763399124
6.579332246575678e-06,0.09483521499591435,0.09753847867250443
8.111308307896868e-06,0.09488249030525864,0.09568340331315994
9.999999999999996e-06,0.0950617562880845,0.09821372479200363
1.2328467394420657e-05,0.09519257304263593,0.0975748747587204
1.5199110829529332e-05,0.09465125510268742,0.08445999026298523
1.8738174228603833e-05,0.09479020800453247,0.097490094602108
2.310129700083159e-05,0.09476568772149178,0.09427475184202194
2.8480358684358008e-05,0.09450872988483894,0.08921509236097336
3.51119173421513e-05,0.0943986977823453,0.09206940978765488
4.3287612810830564e-05,0.0942798375849547,0.09169750660657883
5.336699231206307e-05,0.09408131217403902,0.08965989947319031
6.579332246575676e-05,0.09384317370813393,0.08841222524642944
8.111308307896865e-05,0.09354875377672832,0.08668001741170883
9.999999999999992e-05,0.09304880150685968,0.08112837374210358
0.00012328467394420652,0.09227468959694664,0.0734279528260231
0.00015199110829529325,0.09159352251439128,0.07467377930879593
0.00018738174228603825,0.09068920484979764,0.06778956949710846
0.00023101297000831578,0.08962295355098783,0.06211782246828079
0.00028480358684357995,0.08823342724332649,0.051744211465120316
0.0003511191734215129,0.08635752005429101,0.03624269738793373
0.0004328761281083055,0.08524175968698743,0.05493694916367531
0.0005336699231206306,0.08401462950537812,0.050148945301771164
0.0006579332246575675,0.08254983663365632,0.04149825870990753
0.0008111308307896865,0.08068243981709364,0.02756432443857193
0.0009999999999999992,0.07939358126106842,0.042202141135931015
0.001232846739442065,0.07789000091349817,0.03389676660299301
0.0015199110829529324,0.07653667603830926,0.03640544414520264
0.0018738174228603824,0.07496224966324513,0.027665333822369576
0.002310129700083158,0.07342011361673764,0.02650846727192402
0.0028480358684357995,0.07206207667125018,0.030246060341596603
0.0035111917342151287,0.07059567780786305,0.024909015744924545
0.004328761281083055,0.06937533407637367,0.030919164419174194
0.005336699231206305,0.06810886602743473,0.027756255120038986
0.006579332246575674,0.06674506564712235,0.022823773324489594
0.008111308307896864,0.0657458627905858,0.03323082998394966
0.009999999999999992,0.06494465604749314,0.038608867675065994
